date,home_team,away_team,home_score,away_score,home_odds,away_odds
,Cleveland Cavaliers,Charlotte Hornets,,115,1.13,4.57
,Los Angeles Lakers,Indiana Pacers,,150,1.65,2.01
,Milwaukee Bucks,Oklahoma City Thunder,,118,1.63,2.04
,Minnesota Timberwolves,Golden State Warriors,,114,1.63,2.04
,Miami Heat,Cleveland Cavaliers,,121,1.53,2.21
,Los Angeles Clippers,Philadelphia 76ers,107,121,1.20,3.70
,Detroit Pistons,New Orleans Pelicans,101,114,6.75,1.05
,Portland Trail Blazers,Denver Nuggets,111,114,4.08,1.16
,Chicago Bulls,Boston Celtics,113,124,2.58,1.39
,Houston Rockets,Utah Jazz,,147,1.16,4.10
,San Antonio Spurs,Phoenix Suns,106,131,4.12,1.17
,Washington Wizards,Toronto Raptors,,112,1.38,2.64
,Atlanta Hawks,Charlotte Hornets,,132,1.29,3.02
,Orlando Magic,Sacramento Kings,107,109,1.61,2.09
,New York Knicks,Brooklyn Nets,,105,1.30,3.05
,Los Angeles Lakers,Philadelphia 76ers,,101,1.27,3.17
,Golden State Warriors,Indiana Pacers,111,123,1.46,2.37
,Portland Trail Blazers,Los Angeles Clippers,117,125,6.48,1.06
,Miami Heat,New Orleans Pelicans,88,111,1.61,2.07
,Minnesota Timberwolves,Cleveland Cavaliers,,104,1.29,3.03
,San Antonio Spurs,Memphis Grizzlies,97,99,1.34,2.80
,Detroit Pistons,Boston Celtics,102,129,5.58,1.09
,Toronto Raptors,Oklahoma City Thunder,103,123,7.15,1.04
,Phoenix Suns,Atlanta Hawks,,128,1.20,3.63
,Denver Nuggets,New York Knicks,,113,1.21,3.56
,Dallas Mavericks,Utah Jazz,,113,1.06,6.10
,Houston Rockets,Chicago Bulls,,127,1.54,2.16
,Milwaukee Bucks,Brooklyn Nets,,115,1.15,4.07
,Orlando Magic,New Orleans Pelicans,,121,2.02,1.63
,Washington Wizards,Sacramento Kings,,109,4.38,1.13
,Golden State Warriors,Memphis Grizzlies,,137,1.13,4.55
,Phoenix Suns,Philadelphia 76ers,,115,1.17,3.97
,Portland Trail Blazers,Los Angeles Clippers,103,116,4.52,1.13
,Oklahoma City Thunder,Utah Jazz,,119,1.05,6.80
,Boston Celtics,Milwaukee Bucks,,122,1.15,4.30
,Toronto Raptors,Sacramento Kings,89,123,4.65,1.12
,Cleveland Cavaliers,Miami Heat,104,107,1.63,2.04
,Detroit Pistons,Indiana Pacers,103,122,4.68,1.12
,Minnesota Timberwolves,Denver Nuggets,112,115,3.00,1.30
,San Antonio Spurs,Dallas Mavericks,107,113,3.46,1.23
,Brooklyn Nets,New Orleans Pelicans,91,104,2.93,1.31
,Orlando Magic,Charlotte Hornets,,112,1.09,5.50
,Washington Wizards,Houston Rockets,114,137,4.08,1.16
,Los Angeles Lakers,Atlanta Hawks,,136,1.18,3.83
,Golden State Warriors,New York Knicks,112,119,1.35,2.75
,Sacramento Kings,Memphis Grizzlies,,121,1.13,4.55
,Utah Jazz,Minnesota Timberwolves,104,114,2.35,1.48
,Chicago Bulls,Portland Trail Blazers,,110,1.24,3.38
,Boston Celtics,Detroit Pistons,,119,1.04,6.82
,Philadelphia 76ers,Miami Heat,76,98,1.60,2.07
,Indiana Pacers,Cleveland Cavaliers,103,108,1.33,2.83
,Los Angeles Clippers,Atlanta Hawks,93,110,1.18,3.97
,San Antonio Spurs,Brooklyn Nets,,122,1.70,1.94
,Orlando Magic,Toronto Raptors,,111,1.13,4.72
,Washington Wizards,Boston Celtics,104,130,6.78,1.05
,Dallas Mavericks,Denver Nuggets,,107,1.87,1.76
,Detroit Pistons,Miami Heat,101,104,2.54,1.41
,Milwaukee Bucks,Phoenix Suns,,140,2.10,1.60
,Sacramento Kings,New York Knicks,91,98,1.59,2.12
,Utah Jazz,Minnesota Timberwolves,100,119,3.21,1.27
,Los Angeles Lakers,Golden State Warriors,121,128,1.71,1.93
,Chicago Bulls,Washington Wizards,,127,1.20,3.87
,Memphis Grizzlies,Oklahoma City Thunder,112,118,4.33,1.15
,Indiana Pacers,Brooklyn Nets,,121,1.27,3.28
,New Orleans Pelicans,Portland Trail Blazers,,126,1.09,5.77
,Philadelphia 76ers,Charlotte Hornets,76,109,1.18,4.10
,Houston Rockets,Cleveland Cavaliers,,117,2.48,1.45
,Utah Jazz,Atlanta Hawks,,124,1.89,1.72
,San Antonio Spurs,Denver Nuggets,106,117,4.27,1.14
,New Orleans Pelicans,Los Angeles Clippers,,112,1.34,2.77
,Toronto Raptors,Orlando Magic,103,113,3.10,1.28
,Charlotte Hornets,Phoenix Suns,96,107,4.33,1.14
,Detroit Pistons,Miami Heat,95,108,3.24,1.25
,Oklahoma City Thunder,Dallas Mavericks,,126,1.17,4.22
,Portland Trail Blazers,New York Knicks,93,105,5.13,1.12
,Chicago Bulls,Los Angeles Clippers,111,126,2.74,1.37
,Houston Rockets,Washington Wizards,,135,1.24,3.53
,Milwaukee Bucks,Philadelphia 76ers,,114,1.30,3.10
,Boston Celtics,Phoenix Suns,,127,1.38,2.72
,Portland Trail Blazers,Atlanta Hawks,,106,2.35,1.46
,Sacramento Kings,Los Angeles Lakers,,120,2.03,1.62
,Dallas Mavericks,Golden State Warriors,,109,1.24,3.33
,Memphis Grizzlies,Charlotte Hornets,98,110,2.05,1.61
,New Orleans Pelicans,Cleveland Cavaliers,95,116,1.41,2.51
,Indiana Pacers,Chicago Bulls,129,132,1.42,2.44
,Miami Heat,Denver Nuggets,88,100,2.19,1.55
,Detroit Pistons,Toronto Raptors,,113,1.56,2.17
,Orlando Magic,Brooklyn Nets,,114,1.36,2.69
,Los Angeles Clippers,Minnesota Timberwolves,100,118,1.37,2.70
,Sacramento Kings,Milwaukee Bucks,,129,1.72,1.92
,Utah Jazz,Boston Celtics,107,123,2.84,1.35
,San Antonio Spurs,Houston Rockets,101,103,2.12,1.61
,Memphis Grizzlies,Washington Wizards,,109,2.01,1.68
,Oklahoma City Thunder,Indiana Pacers,111,121,1.41,2.61
,New York Knicks,Philadelphia 76ers,,106,1.39,2.67
,Portland Trail Blazers,Boston Celtics,99,121,4.83,1.13
,Denver Nuggets,Toronto Raptors,,125,1.03,7.90
,Chicago Bulls,Dallas Mavericks,92,127,2.23,1.55
,San Antonio Spurs,Golden State Warriors,102,112,2.43,1.45
,Cleveland Cavaliers,Phoenix Suns,111,117,2.78,1.36
,Detroit Pistons,Charlotte Hornets,,114,1.45,2.47
,Los Angeles Lakers,Minnesota Timberwolves,,120,1.41,2.50
,Cleveland Cavaliers,Brooklyn Nets,101,120,1.31,2.92
,New York Knicks,Philadelphia 76ers,73,79,1.30,2.99
,Oklahoma City Thunder,Memphis Grizzlies,,124,1.05,6.87
,Atlanta Hawks,New Orleans Pelicans,103,116,2.75,1.36
,Miami Heat,Washington Wizards,108,110,1.12,4.87
,Orlando Magic,Indiana Pacers,97,111,1.89,1.78
,Sacramento Kings,Houston Rockets,104,112,1.31,2.94
,Los Angeles Clippers,Milwaukee Bucks,117,124,2.89,1.33
,Portland Trail Blazers,Toronto Raptors,,128,2.07,1.61
,Denver Nuggets,Utah Jazz,,142,1.10,5.25
,Golden State Warriors,San Antonio Spurs,113,126,1.11,5.02
,Phoenix Suns,Boston Celtics,107,117,2.61,1.39
,Charlotte Hornets,Brooklyn Nets,,110,2.73,1.36
,Detroit Pistons,Dallas Mavericks,124,142,3.57,1.22
,Los Angeles Clippers,Chicago Bulls,,112,1.25,3.32
,Los Angeles Lakers,Milwaukee Bucks,,123,2.29,1.52
,Portland Trail Blazers,Houston Rockets,107,123,2.92,1.33
,Memphis Grizzlies,Atlanta Hawks,92,99,2.13,1.58
,Oklahoma City Thunder,Miami Heat,,107,1.22,3.48
,Cleveland Cavaliers,Minnesota Timberwolves,,113,1.73,1.92
,New York Knicks,Orlando Magic,,98,1.66,2.02
,Philadelphia 76ers,New Orleans Pelicans,95,103,3.25,1.27
,Washington Wizards,Charlotte Hornets,,112,1.64,2.08
,Denver Nuggets,Boston Celtics,,115,1.97,1.69
,Golden State Warriors,Chicago Bulls,122,125,1.25,3.42
,Sacramento Kings,San Antonio Spurs,,131,1.13,4.90
,Phoenix Suns,Toronto Raptors,,120,1.14,4.43
,Dallas Mavericks,Miami Heat,,114,1.47,2.38
,Detroit Pistons,Brooklyn Nets,,118,2.02,1.65
,Indiana Pacers,Minnesota Timberwolves,111,113,1.76,1.88
,Los Angeles Lakers,Sacramento Kings,120,130,1.62,2.08
,Golden State Warriors,Milwaukee Bucks,,125,1.62,2.07
,Portland Trail Blazers,Oklahoma City Thunder,120,128,5.57,1.09
,Utah Jazz,Chicago Bulls,117,119,2.28,1.51
,Atlanta Hawks,Cleveland Cavaliers,,112,1.60,2.10
,Houston Rockets,Los Angeles Clippers,116,122,2.84,1.35
,Philadelphia 76ers,Memphis Grizzlies,109,115,1.50,2.30
,Washington Wizards,Orlando Magic,109,119,2.95,1.33
,Denver Nuggets,Phoenix Suns,107,117,1.21,3.54
,Dallas Mavericks,Indiana Pacers,120,137,1.39,2.57
,Houston Rockets,San Antonio Spurs,,114,1.31,2.89
,Cleveland Cavaliers,Boston Celtics,,105,3.60,1.22
,Brooklyn Nets,Philadelphia 76ers,,112,1.77,1.83
,Miami Heat,Detroit Pistons,,118,1.13,4.80
,New York Knicks,Atlanta Hawks,100,116,1.70,1.92
,Toronto Raptors,New Orleans Pelicans,98,139,3.76,1.19
,Charlotte Hornets,Orlando Magic,89,101,3.43,1.24
,Los Angeles Lakers,Oklahoma City Thunder,,116,1.87,1.73
,Sacramento Kings,Chicago Bulls,109,113,1.35,2.75
,Utah Jazz,Washington Wizards,,127,1.43,2.48
,Milwaukee Bucks,Los Angeles Clippers,,113,2.05,1.60
,Minnesota Timberwolves,Portland Trail Blazers,,119,1.05,6.60
,Brooklyn Nets,Memphis Grizzlies,102,106,1.18,3.82
,Phoenix Suns,Oklahoma City Thunder,110,118,2.36,1.50
,Cleveland Cavaliers,New York Knicks,98,107,1.50,2.31
,San Antonio Spurs,Indiana Pacers,,117,2.84,1.35
,Orlando Magic,Detroit Pistons,,113,1.14,4.72
,Toronto Raptors,Charlotte Hornets,,111,1.30,3.08
,Boston Celtics,Golden State Warriors,,140,1.24,3.42
,Minnesota Timberwolves,Los Angeles Clippers,88,89,1.65,2.03
,Dallas Mavericks,Philadelphia 76ers,116,120,1.27,3.27
,Phoenix Suns,Houston Rockets,109,118,1.21,3.80
,Los Angeles Lakers,Denver Nuggets,114,124,1.87,1.76
,Memphis Grizzlies,Portland Trail Blazers,100,107,1.64,2.07
,Miami Heat,Utah Jazz,,126,1.21,3.80
,Brooklyn Nets,Atlanta Hawks,,114,1.86,1.78
,Los Angeles Clippers,Washington Wizards,,140,1.06,6.92
,Chicago Bulls,Milwaukee Bucks,97,113,2.24,1.53
,Memphis Grizzlies,Portland Trail Blazers,92,122,1.77,1.90
,Minnesota Timberwolves,Sacramento Kings,120,124,1.26,3.35
